month,day,season,transexp,distance,servtime,age,childen,bmi,absenttime,Year
7,3,1,289,36,13,33,2,30,4,2007
7,3,1,118,13,18,50,1,31,0,2007
7,4,1,179,51,18,38,0,31,2,2007
7,5,1,279,5,14,39,2,24,4,2007
7,5,1,289,36,13,33,2,30,2,2007
7,6,1,179,51,18,38,0,31,2,2007
7,6,1,361,52,3,28,1,27,8,2007
7,6,1,260,50,11,36,4,23,4,2007
7,2,1,155,12,14,34,2,25,40,2007
7,2,1,235,11,14,37,1,29,8,2007
7,2,1,260,50,11,36,4,23,8,2007
7,3,1,260,50,11,36,4,23,8,2007
7,4,1,260,50,11,36,4,23,8,2007
7,4,1,179,51,18,38,0,31,1,2007
7,4,1,179,51,18,38,0,31,4,2007
7,6,1,246,25,16,41,0,23,8,2007
7,6,1,179,51,18,38,0,31,2,2007
7,2,1,179,51,18,38,0,31,8,2007
7,5,1,189,29,13,33,2,25,8,2007
8,4,1,248,25,14,47,2,32,2,2007
8,4,1,330,16,4,28,0,25,8,2007
8,2,1,179,51,18,38,0,31,1,2007
8,2,1,361,52,3,28,1,27,40,2007
8,6,1,260,50,11,36,4,23,4,2007
8,2,1,289,36,13,33,2,30,8,2007
8,2,1,361,52,3,28,1,27,7,2007
8,3,1,289,36,13,33,2,30,1,2007
8,4,1,157,27,6,29,0,22,4,2007
8,4,1,289,36,13,33,2,30,8,2007
8,6,1,179,51,18,38,0,31,2,2007
8,2,1,179,51,18,38,0,31,8,2007
8,5,1,235,29,12,48,1,33,8,2007
8,5,1,235,11,14,37,1,29,4,2007
8,2,1,235,29,12,48,1,33,8,2007
8,2,1,179,51,18,38,0,31,2,2007
8,2,1,361,52,3,28,1,27,1,2007
8,3,1,289,36,13,33,2,30,8,2007
8,5,1,291,50,12,32,0,23,4,2007
8,6,1,235,29,12,48,1,33,8,2007
8,6,1,260,50,11,36,4,23,4,2007
9,3,1,184,42,7,27,0,21,2,2007
9,2,1,118,10,10,37,0,28,4,2007
9,3,1,179,51,18,38,0,31,4,2007
9,3,1,235,20,13,43,1,38,8,2007
9,4,1,155,12,14,34,2,25,2,2007
9,2,1,118,10,10,37,0,28,3,2007
9,3,1,179,51,18,38,0,31,3,2007
9,5,1,291,31,12,40,1,25,4,2007
9,6,1,260,50,11,36,4,23,8,2007
9,2,4,291,31,12,40,1,25,32,2007
9,2,4,260,50,11,36,4,23,0,2007
9,2,4,225,26,9,28,1,24,0,2007
9,3,4,225,26,9,28,1,24,2,2007
9,3,4,118,10,10,37,0,28,2,2007
9,3,4,289,36,13,33,2,30,0,2007
9,3,4,118,13,18,50,1,31,0,2007
9,4,4,225,26,9,28,1,24,3,2007
9,4,4,179,51,18,38,0,31,3,2007
9,4,4,369,17,12,31,3,25,0,2007
9,6,4,248,25,14,47,2,32,1,2007
9,6,4,179,51,18,38,0,31,3,2007
9,6,4,260,50,11,36,4,23,4,2007
10,3,4,179,51,18,38,0,31,3,2007
10,3,4,118,10,10,37,0,28,3,2007
10,4,4,118,13,18,50,1,31,0,2007
10,5,4,179,26,9,30,0,19,1,2007
10,6,4,179,51,18,38,0,31,3,2007
10,6,4,225,26,9,28,1,24,3,2007
10,3,4,118,10,10,37,0,28,3,2007
10,4,4,225,26,9,28,1,24,2,2007
10,4,4,248,25,14,47,2,32,2,2007
10,5,4,291,31,12,40,1,25,5,2007
10,4,4,179,51,18,38,0,31,8,2007
10,4,4,225,26,9,28,1,24,3,2007
10,5,4,260,50,11,36,4,23,16,2007
10,3,4,291,31,12,40,1,25,8,2007
10,3,4,225,26,9,28,1,24,2,2007
10,4,4,289,36,13,33,2,30,8,2007
10,6,4,361,52,3,28,1,27,1,2007
10,6,4,260,50,11,36,4,23,3,2007
11,5,4,179,51,18,38,0,31,1,2007
11,4,4,225,26,9,28,1,24,1,2007
11,5,4,179,51,18,38,0,31,8,2007
11,5,4,179,22,17,40,2,22,8,2007
11,5,4,291,31,12,40,1,25,5,2007
11,2,4,155,12,14,34,2,25,32,2007
11,2,4,189,29,13,33,2,25,8,2007
11,2,4,291,31,12,40,1,25,40,2007
11,4,4,225,26,9,28,1,24,1,2007
11,6,4,155,12,14,34,2,25,8,2007
11,4,4,225,26,9,28,1,24,3,2007
11,4,4,179,22,17,40,2,22,8,2007
11,6,4,225,26,9,28,1,24,3,2007
11,6,4,260,50,11,36,4,23,4,2007
11,2,4,248,25,14,47,2,32,1,2007
11,3,4,225,26,9,28,1,24,3,2007
11,4,4,289,36,13,33,2,30,24,2007
11,5,4,291,31,12,40,1,25,3,2007
12,3,4,248,25,14,47,2,32,1,2007
12,3,4,118,10,10,37,0,28,64,2007
12,4,4,118,13,18,50,1,31,2,2007
12,4,4,235,11,14,37,1,29,8,2007
12,5,4,225,26,9,28,1,24,2,2007
12,6,4,260,50,11,36,4,23,8,2007
12,3,4,118,10,10,37,0,28,56,2007
12,4,4,361,52,3,28,1,27,8,2007
12,5,4,225,26,9,28,1,24,3,2007
12,6,4,260,50,11,36,4,23,3,2007
12,3,4,225,26,9,28,1,24,2,2007
12,4,4,361,52,3,28,1,27,8,2007
12,6,4,118,10,10,37,0,28,2,2007
12,6,2,246,25,16,41,0,23,8,2007
12,6,2,225,26,9,28,1,24,2,2007
1,4,2,225,26,9,28,1,24,1,2008
1,2,2,118,10,10,37,0,28,1,2008
1,3,2,118,10,10,37,0,28,1,2008
1,3,2,155,12,14,34,2,25,8,2008
1,4,2,225,26,9,28,1,24,2,2008
1,5,2,184,42,7,27,0,21,2,2008
1,5,2,225,26,9,28,1,24,2,2008
1,6,2,225,26,9,28,1,24,1,2008
1,2,2,118,10,10,37,0,28,2,2008
1,3,2,225,26,9,28,1,24,2,2008
1,3,2,118,10,10,37,0,28,2,2008
1,4,2,118,10,10,37,0,28,2,2008
1,5,2,118,10,10,37,0,28,2,2008
1,6,2,118,10,10,37,0,28,2,2008
1,2,2,118,10,10,37,0,28,2,2008
1,3,2,118,10,10,37,0,28,2,2008
1,3,2,179,26,9,30,0,19,8,2008
1,3,2,289,36,13,33,2,30,8,2008
1,4,2,118,10,10,37,0,28,2,2008
1,5,2,184,42,7,27,0,21,2,2008
1,5,2,118,10,10,37,0,28,2,2008
1,2,2,118,10,10,37,0,28,0,2008
1,3,2,225,26,9,28,1,24,1,2008
1,5,2,289,36,13,33,2,30,3,2008
2,6,2,184,42,7,27,0,21,1,2008
2,4,2,246,25,16,41,0,23,8,2008
2,4,2,179,51,18,38,0,31,8,2008
2,5,2,155,12,14,34,2,25,2,2008
2,5,2,189,29,13,33,2,25,8,2008
2,6,2,260,50,11,36,4,23,2,2008
2,6,2,289,36,13,33,2,30,8,2008
2,2,2,388,15,9,50,0,24,8,2008
2,3,2,388,15,9,50,0,24,8,2008
2,2,2,225,26,9,28,1,24,2,2008
2,3,2,225,26,9,28,1,24,2,2008
2,3,2,179,26,9,30,0,19,1,2008
2,3,2,184,42,7,27,0,21,8,2008
2,5,2,225,26,9,28,1,24,3,2008
2,2,2,330,16,4,28,0,25,8,2008
2,3,2,330,16,4,28,0,25,1,2008
2,4,2,225,26,9,28,1,24,1,2008
2,5,2,189,29,13,33,2,25,8,2008
3,3,2,291,50,12,32,0,23,2,2008
3,3,2,260,50,11,36,4,23,8,2008
3,3,2,157,27,6,29,0,22,3,2008
3,3,2,179,22,17,40,2,22,8,2008
3,4,2,291,31,12,40,1,25,8,2008
3,4,2,260,50,11,36,4,23,8,2008
3,5,2,179,26,9,30,0,19,8,2008
3,6,2,248,25,14,47,2,32,3,2008
3,6,2,260,50,11,36,4,23,40,2008
3,2,2,179,22,17,40,2,22,40,2008
3,2,2,155,12,14,34,2,25,16,2008
3,2,2,260,50,11,36,4,23,16,2008
3,3,2,155,12,14,34,2,25,8,2008
3,5,2,289,36,13,33,2,30,8,2008
3,5,2,179,22,17,40,2,22,8,2008
3,6,2,260,50,11,36,4,23,4,2008
3,6,2,225,26,9,28,1,24,1,2008
3,2,2,279,5,14,39,2,24,8,2008
3,3,2,179,51,18,38,0,31,24,2008
3,4,2,225,26,9,28,1,24,2,2008
3,2,3,225,26,9,28,1,24,8,2008
3,2,3,179,26,9,30,0,19,1,2008
3,3,3,225,26,9,28,1,24,8,2008
3,4,3,225,26,9,28,1,24,16,2008
3,4,3,179,51,18,38,0,31,3,2008
3,5,3,279,5,14,39,2,24,16,2008
3,6,3,225,26,9,28,1,24,2,2008
3,6,3,248,25,14,47,2,32,3,2008
3,2,3,225,26,9,28,1,24,1,2008
4,4,3,291,31,12,40,1,25,1,2008
4,4,3,225,26,9,28,1,24,1,2008
4,3,3,155,12,14,34,2,25,1,2008
4,4,3,246,25,16,41,0,23,24,2008
4,5,3,155,12,14,34,2,25,1,2008
4,6,3,225,26,9,28,1,24,2,2008
4,6,3,260,50,11,36,4,23,4,2008
4,4,3,179,51,18,38,0,31,24,2008
4,5,3,118,13,18,50,1,31,1,2008
4,6,3,291,31,12,40,1,25,3,2008
4,6,3,246,25,16,41,0,23,8,2008
4,6,3,291,31,12,40,1,25,1,2008
4,6,3,248,25,14,47,2,32,8,2008
4,6,3,260,50,11,36,4,23,56,2008
4,3,3,289,36,13,33,2,30,8,2008
4,4,3,155,12,14,34,2,25,24,2008
4,4,3,378,49,11,36,2,21,8,2008
4,5,3,289,36,13,33,2,30,16,2008
4,6,3,235,11,14,37,1,29,3,2008
4,2,3,235,29,12,48,1,33,0,2008
5,4,3,289,36,13,33,2,30,8,2008
5,5,3,155,12,14,34,2,25,2,2008
5,2,3,155,12,14,34,2,25,1,2008
5,3,3,179,51,18,38,0,31,8,2008
5,3,3,225,26,9,28,1,24,8,2008
5,4,3,184,42,7,27,0,21,4,2008
5,2,3,155,12,14,34,2,25,2,2008
5,3,3,179,51,18,38,0,31,1,2008
5,4,3,289,36,13,33,2,30,24,2008
5,4,3,279,5,14,39,2,24,0,2008
5,4,3,330,16,4,28,0,25,0,2008
5,4,3,378,49,11,36,2,21,0,2008
5,4,3,388,15,9,50,0,24,0,2008
5,3,3,179,51,18,38,0,31,1,2008
5,4,3,118,13,18,50,1,31,24,2008
5,6,3,361,52,3,28,1,27,8,2008
6,2,3,246,25,16,41,0,23,8,2008
6,2,3,361,52,3,28,1,27,8,2008
6,3,3,246,25,16,41,0,23,24,2008
6,5,3,291,31,12,40,1,25,4,2008
6,6,3,246,25,16,41,0,23,8,2008
6,2,3,179,51,18,38,0,31,8,2008
6,2,3,155,12,14,34,2,25,4,2008
6,2,3,246,25,16,41,0,23,8,2008
6,4,3,118,13,18,50,1,31,8,2008
6,6,3,235,11,14,37,1,29,16,2008
6,3,3,118,13,18,50,1,31,1,2008
6,4,3,118,13,18,50,1,31,80,2008
6,5,3,378,49,11,36,2,21,8,2008
6,6,3,179,51,18,38,0,31,2,2008
6,2,1,289,48,29,49,0,36,2,2008
6,5,1,225,26,9,28,1,24,2,2008
7,3,1,155,12,14,34,2,25,16,2008
7,4,1,118,13,18,50,1,31,8,2008
7,6,1,118,10,10,37,0,28,8,2008
7,6,1,118,10,10,37,0,28,4,2008
7,3,1,330,16,4,28,0,25,8,2008
7,5,1,179,26,9,30,0,19,8,2008
7,6,1,155,12,14,34,2,25,2,2008
7,2,1,330,16,4,28,0,25,8,2008
7,3,1,330,16,4,28,0,25,8,2008
7,2,1,157,27,6,29,0,22,3,2008
7,3,1,361,52,3,28,1,27,8,2008
7,4,1,289,36,13,33,2,30,8,2008
7,5,1,179,51,18,38,0,31,8,2008
7,2,1,289,36,13,33,2,30,32,2008
7,5,1,289,36,13,33,2,30,8,2008
7,5,1,260,50,11,36,4,23,0,2008
8,6,1,289,36,13,33,2,30,8,2008
8,6,1,157,27,6,29,0,22,3,2008
8,2,1,289,36,13,33,2,30,1,2008
8,3,1,228,14,16,58,2,22,8,2008
8,5,1,300,26,13,43,2,25,1,2008
8,5,1,300,26,13,43,2,25,2,2008
8,6,1,260,50,11,36,4,23,4,2008
8,3,1,289,36,13,33,2,30,4,2008
8,4,1,248,25,14,47,2,32,1,2008
8,5,1,268,11,8,33,0,25,8,2008
8,5,1,179,26,9,30,0,19,1,2008
8,5,1,118,13,18,50,1,31,3,2008
8,2,1,248,25,14,47,2,32,2,2008
8,3,1,235,11,14,37,1,29,1,2008
8,5,1,118,13,18,50,1,31,1,2008
8,5,1,235,11,14,37,1,29,8,2008
8,3,1,361,52,3,28,1,27,8,2008
8,4,1,184,42,7,27,0,21,8,2008
9,2,1,179,51,18,38,0,31,8,2008
9,6,1,179,51,18,38,0,31,3,2008
9,4,1,289,36,13,33,2,30,24,2008
9,5,1,235,20,13,43,1,38,0,2008
9,2,1,246,25,16,41,0,23,16,2008
9,3,1,291,31,12,40,1,25,3,2008
9,3,1,231,35,14,39,2,35,0,2008
9,3,1,291,50,12,32,0,23,0,2008
9,4,1,179,51,18,38,0,31,8,2008
9,4,1,246,25,16,41,0,23,32,2008
9,5,1,179,51,18,38,0,31,1,2008
9,6,1,291,31,12,40,1,25,4,2008
9,6,1,260,50,11,36,4,23,4,2008
9,4,4,235,20,13,43,1,38,8,2008
9,5,4,118,13,18,50,1,31,1,2008
9,5,4,235,20,13,43,1,38,0,2008
9,6,4,291,31,12,40,1,25,3,2008
9,2,4,291,31,12,40,1,25,40,2008
9,2,4,179,51,18,38,0,31,8,2008
10,2,4,289,36,13,33,2,30,8,2008
10,2,4,235,11,14,37,1,29,4,2008
10,2,4,289,36,13,33,2,30,8,2008
10,6,4,289,36,13,33,2,30,8,2008
10,6,4,118,13,18,50,1,31,0,2008
10,6,4,248,25,14,47,2,32,0,2008
10,2,4,179,26,9,30,0,19,8,2008
10,2,4,118,10,10,37,0,28,3,2008
10,2,4,369,17,12,31,3,25,8,2008
10,4,4,179,51,18,38,0,31,1,2008
10,4,4,179,26,9,30,0,19,64,2008
10,4,4,235,20,13,43,1,38,0,2008
10,5,4,289,36,13,33,2,30,16,2008
10,6,4,260,50,11,36,4,23,3,2008
10,6,4,235,20,13,43,1,38,0,2008
10,2,4,235,20,13,43,1,38,2,2008
10,2,4,235,20,13,43,1,38,2,2008
10,3,4,118,13,18,50,1,31,1,2008
10,3,4,291,31,12,40,1,25,4,2008
10,5,4,179,26,9,30,0,19,16,2008
10,5,4,118,13,18,50,1,31,1,2008
10,2,4,361,52,3,28,1,27,8,2008
10,3,4,260,50,11,36,4,23,0,2008
10,3,4,291,31,12,40,1,25,0,2008
10,3,4,157,27,6,29,0,22,0,2008
10,4,4,179,26,9,30,0,19,5,2008
10,4,4,179,26,9,30,0,19,5,2008
10,5,4,118,13,18,50,1,31,1,2008
11,2,4,118,10,10,37,0,28,8,2008
11,2,4,248,25,14,47,2,32,2,2008
11,3,4,179,51,18,38,0,31,8,2008
11,6,4,260,50,11,36,4,23,3,2008
11,2,4,291,31,12,40,1,25,1,2008
11,2,4,378,49,11,36,2,21,8,2008
11,2,4,155,12,14,34,2,25,120,2008
11,2,4,235,20,13,43,1,38,8,2008
11,3,4,330,16,4,28,0,25,0,2008
11,4,4,235,11,14,37,1,29,1,2008
11,4,4,118,10,10,37,0,28,3,2008
11,5,4,235,11,14,37,1,29,2,2008
11,5,4,179,51,18,38,0,31,3,2008
11,6,4,246,25,16,41,0,23,8,2008
11,6,4,291,31,12,40,1,25,4,2008
11,2,4,246,25,16,41,0,23,8,2008
11,3,4,179,51,18,38,0,31,1,2008
11,4,4,260,50,11,36,4,23,8,2008
11,6,4,260,50,11,36,4,23,8,2008
11,6,4,378,49,11,36,2,21,0,2008
11,3,4,279,5,14,39,2,24,0,2008
11,5,4,179,51,18,38,0,31,1,2008
12,2,4,225,26,9,28,1,24,3,2008
12,2,4,179,51,18,38,0,31,2,2008
12,2,4,179,51,18,38,0,31,1,2008
12,2,4,235,11,14,37,1,29,3,2008
12,3,4,118,13,18,50,1,31,1,2008
12,6,4,260,50,11,36,4,23,4,2008
12,5,4,246,25,16,41,0,23,8,2008
12,5,4,179,51,18,38,0,31,1,2008
12,6,4,179,51,18,38,0,31,1,2008
12,3,4,179,26,9,30,0,19,1,2008
12,3,4,118,10,10,37,0,28,8,2008
12,5,4,235,11,14,37,1,29,2,2008
12,6,4,179,51,18,38,0,31,1,2008
12,3,2,235,20,13,43,1,38,8,2008
12,3,2,235,11,14,37,1,29,4,2008
12,4,2,260,50,11,36,4,23,8,2008
12,2,2,157,27,6,29,0,22,2,2008
12,2,2,179,51,18,38,0,31,3,2008
12,2,2,289,36,13,33,2,30,8,2008
1,4,2,225,26,9,28,1,24,5,2009
1,2,2,118,10,10,37,0,28,32,2009
1,2,2,155,12,14,34,2,25,2,2009
1,3,2,235,11,14,37,1,29,1,2009
1,3,2,155,12,14,34,2,25,4,2009
1,2,2,289,36,13,33,2,30,8,2009
1,4,2,291,31,12,40,1,25,8,2009
