month,day,season,transexp,distance,servtime,age,childen,bmi,absenttime,Year
1,2,2,235,20,13,43,1,38,8,2009
1,2,2,118,13,18,50,1,31,4,2009
1,4,2,179,51,18,38,0,31,1,2009
1,6,2,179,51,18,38,0,31,1,2009
2,3,2,118,10,10,37,0,28,2,2009
2,4,2,179,51,18,38,0,31,3,2009
2,4,2,225,26,9,28,1,24,1,2009
2,6,2,289,36,13,33,2,30,3,2009
2,6,2,260,50,11,36,4,23,3,2009
2,6,2,179,51,18,38,0,31,3,2009
2,2,2,179,51,18,38,0,31,2,2009
2,4,2,179,51,18,38,0,31,3,2009
2,5,2,179,51,18,38,0,31,8,2009
2,5,2,246,25,16,41,0,23,8,2009
2,6,2,179,51,18,38,0,31,3,2009
2,2,2,189,29,13,33,2,25,8,2009
2,2,2,179,51,18,38,0,31,3,2009
2,3,2,246,25,16,41,0,23,2,2009
2,3,2,291,31,12,40,1,25,2,2009
2,4,2,157,27,6,29,0,22,16,2009
2,4,2,179,51,18,38,0,31,3,2009
2,6,2,179,51,18,38,0,31,3,2009
2,6,2,246,25,16,41,0,23,24,2009
2,4,2,179,51,18,38,0,31,3,2009
2,6,2,179,51,18,38,0,31,3,2009
3,3,2,118,10,10,37,0,28,8,2009
3,4,2,246,25,16,41,0,23,16,2009
3,6,2,246,25,16,41,0,23,2,2009
3,6,2,260,50,11,36,4,23,4,2009
3,2,2,179,51,18,38,0,31,2,2009
3,2,2,235,11,14,37,1,29,8,2009
3,3,2,179,22,17,40,2,22,8,2009
3,3,2,378,49,11,36,2,21,8,2009
3,2,2,179,51,18,38,0,31,16,2009
3,4,2,361,52,3,28,1,27,8,2009
3,4,2,369,17,12,31,3,25,0,2009
3,5,2,235,11,14,37,1,29,8,2009
3,6,3,118,13,18,50,1,31,2,2009
3,3,3,118,13,18,50,1,31,3,2009
3,4,3,118,13,18,50,1,31,8,2009
3,5,3,235,11,14,37,1,29,0,2009
3,5,3,246,25,16,41,0,23,0,2009
3,5,3,118,13,18,50,1,31,0,2009
3,6,3,179,51,18,38,0,31,8,2009
3,6,3,289,36,13,33,2,30,8,2009
3,2,3,260,50,11,36,4,23,8,2009
3,3,3,246,25,16,41,0,23,2,2009
4,4,3,179,51,18,38,0,31,4,2009
4,6,3,260,50,11,36,4,23,3,2009
4,6,3,330,16,4,28,0,25,4,2009
4,2,3,369,17,12,31,3,25,4,2009
4,2,3,248,25,14,47,2,32,4,2009
4,4,3,330,16,4,28,0,25,8,2009
4,4,3,179,51,18,38,0,31,8,2009
4,2,3,118,13,18,50,1,31,1,2009
4,4,3,118,13,18,50,1,31,120,2009
4,6,3,300,26,13,43,2,25,8,2009
4,6,3,260,50,11,36,4,23,4,2009
4,2,3,179,51,18,38,0,31,4,2009
4,4,3,118,10,10,37,0,28,2,2009
5,2,3,235,20,13,43,1,38,16,2009
5,4,3,248,25,14,47,2,32,2,2009
5,2,3,369,17,12,31,3,25,8,2009
5,4,3,179,26,9,30,0,19,3,2009
5,4,3,179,51,18,38,0,31,4,2009
5,5,3,361,52,3,28,1,27,1,2009
5,6,3,260,50,11,36,4,23,3,2009
5,2,3,179,22,17,40,2,22,2,2009
5,2,3,179,22,17,40,2,22,3,2009
5,4,3,228,14,16,58,2,22,8,2009
5,4,3,225,26,9,28,1,24,3,2009
5,6,3,330,16,4,28,0,25,8,2009
5,2,3,179,26,9,30,0,19,2,2009
5,2,3,118,10,10,37,0,28,1,2009
5,2,3,235,11,14,37,1,29,8,2009
5,4,3,179,26,9,30,0,19,3,2009
6,2,3,118,10,10,37,0,28,3,2009
6,2,3,179,51,18,38,0,31,3,2009
6,3,3,118,10,10,37,0,28,2,2009
6,5,3,225,26,9,28,1,24,4,2009
6,6,3,260,50,11,36,4,23,4,2009
6,6,3,179,51,18,38,0,31,0,2009
6,2,3,291,31,12,40,1,25,40,2009
6,2,3,179,51,18,38,0,31,24,2009
6,3,3,246,25,16,41,0,23,3,2009
6,2,3,179,51,18,38,0,31,4,2009
6,3,3,235,20,13,43,1,38,8,2009
6,2,1,179,51,18,38,0,31,2,2009
6,4,1,225,26,9,28,1,24,2,2009
6,4,1,118,13,18,50,1,31,2,2009
6,4,1,179,51,18,38,0,31,8,2009
6,4,1,179,26,9,30,0,19,2,2009
6,6,1,246,25,16,41,0,23,2,2009
6,3,1,330,16,4,28,0,25,1,2009
6,3,1,235,11,14,37,1,29,8,2009
7,5,1,179,26,9,30,0,19,2,2009
7,5,1,225,26,9,28,1,24,4,2009
7,6,1,260,50,11,36,4,23,8,2009
7,2,1,268,11,8,33,0,25,8,2009
7,6,1,330,16,4,28,0,25,8,2009
7,6,1,118,10,10,37,0,28,8,2009
7,2,1,260,50,11,36,4,23,4,2009
7,3,1,118,10,10,37,0,28,8,2009
7,2,1,300,26,13,43,2,25,8,2009
7,2,1,235,29,12,48,1,33,1,2009
7,3,1,246,25,16,41,0,23,2,2009
7,3,1,225,26,9,28,1,24,112,2009
7,3,1,179,51,18,38,0,31,1,2009
7,6,1,118,13,18,50,1,31,1,2009
7,6,1,361,52,3,28,1,27,8,2009
7,2,1,289,36,13,33,2,30,8,2009
7,2,1,235,20,13,43,1,38,8,2009
7,3,1,246,25,16,41,0,23,2,2009
7,5,1,291,31,12,40,1,25,1,2009
7,5,1,279,5,14,39,2,24,2,2009
8,5,1,179,51,18,38,0,31,4,2009
8,2,1,179,22,17,40,2,22,1,2009
8,3,1,246,25,16,41,0,23,4,2009
8,3,1,118,10,10,37,0,28,4,2009
8,3,1,289,36,13,33,2,30,8,2009
8,3,1,235,20,13,43,1,38,8,2009
8,5,1,291,31,12,40,1,25,4,2009
8,2,1,179,51,18,38,0,31,4,2009
8,3,1,179,22,17,40,2,22,8,2009
8,5,1,330,16,4,28,0,25,16,2009
8,3,1,235,11,14,37,1,29,4,2009
8,3,1,246,25,16,41,0,23,1,2009
8,3,1,118,10,10,37,0,28,5,2009
8,5,1,291,31,12,40,1,25,2,2009
8,2,1,260,50,11,36,4,23,3,2009
9,3,1,246,25,16,41,0,23,1,2009
9,3,1,246,25,16,41,0,23,1,2009
9,3,1,118,10,10,37,0,28,3,2009
9,3,1,155,12,14,34,2,25,2,2009
9,5,1,291,31,12,40,1,25,2,2009
9,6,1,179,26,9,30,0,19,8,2009
9,6,1,248,25,14,47,2,32,1,2009
9,2,1,179,51,18,38,0,31,4,2009
9,4,1,225,26,9,28,1,24,1,2009
9,2,1,179,26,9,30,0,19,2,2009
9,3,4,369,17,12,31,3,25,8,2009
9,3,4,361,52,3,28,1,27,8,2009
10,5,4,289,48,29,49,0,36,1,2009
10,5,4,235,16,8,32,0,25,3,2009
10,6,4,246,25,16,41,0,23,8,2009
10,4,4,289,48,29,49,0,36,3,2009
10,4,4,291,31,12,40,1,25,2,2009
10,3,4,118,10,10,37,0,28,2,2009
10,5,4,289,48,29,49,0,36,2,2009
10,6,4,291,31,12,40,1,25,1,2009
10,3,4,225,26,9,28,1,24,2,2009
10,3,4,369,17,12,31,3,25,8,2009
10,3,4,369,17,12,31,3,25,3,2009
10,3,4,225,26,9,28,1,24,4,2009
10,3,4,369,17,12,31,3,25,8,2009
10,4,4,179,51,18,38,0,31,3,2009
10,4,4,228,14,16,58,2,22,1,2009
10,4,4,291,31,12,40,1,25,1,2009
10,5,4,369,17,12,31,3,25,8,2009
10,5,4,225,26,9,28,1,24,1,2009
10,6,4,369,17,12,31,3,25,8,2009
10,6,4,225,26,9,28,1,24,3,2009
10,2,4,189,29,13,33,2,25,8,2009
10,2,4,235,16,8,32,0,25,8,2009
10,2,4,248,25,14,47,2,32,8,2009
10,2,4,225,26,9,28,1,24,0,2009
10,3,4,225,26,9,28,1,24,3,2009
11,3,4,179,51,18,38,0,31,1,2009
11,4,4,118,10,10,37,0,28,3,2009
11,4,4,330,16,4,28,0,25,24,2009
11,6,4,179,51,18,38,0,31,1,2009
11,3,4,118,10,10,37,0,28,8,2009
11,4,4,289,36,13,33,2,30,8,2009
11,6,4,235,16,8,32,0,25,8,2009
11,6,4,225,26,9,28,1,24,4,2009
11,3,4,361,52,3,28,1,27,8,2009
11,4,4,291,31,12,40,1,25,2,2009
11,5,4,118,10,10,37,0,28,2,2009
11,5,4,225,26,9,28,1,24,3,2009
11,2,4,179,51,18,38,0,31,1,2009
11,2,4,118,10,10,37,0,28,8,2009
11,3,4,118,10,10,37,0,28,8,2009
11,3,4,225,26,9,28,1,24,2,2009
11,3,4,291,31,12,40,1,25,0,2009
11,4,4,289,36,13,33,2,30,0,2009
11,5,4,248,25,14,47,2,32,4,2009
11,5,4,235,20,13,43,1,38,0,2009
11,6,4,225,26,9,28,1,24,2,2009
11,6,4,369,17,12,31,3,25,8,2009
11,2,4,361,52,3,28,1,27,2,2009
12,3,4,179,51,18,38,0,31,32,2009
12,4,4,291,31,12,40,1,25,1,2009
12,4,4,225,26,9,28,1,24,3,2009
12,6,4,179,26,9,30,0,19,1,2009
12,6,4,225,26,9,28,1,24,3,2009
12,4,4,225,26,9,28,1,24,3,2009
12,5,4,361,52,3,28,1,27,4,2009
12,6,4,179,22,17,40,2,22,2,2009
12,6,4,235,20,13,43,1,38,8,2009
12,2,4,233,51,1,31,1,21,8,2009
12,3,4,179,26,9,30,0,19,16,2009
12,3,4,225,26,9,28,1,24,2,2009
12,5,4,225,26,9,28,1,24,3,2009
12,2,4,225,26,9,28,1,24,2,2009
12,3,2,155,12,14,34,2,25,80,2009
1,2,2,179,26,9,30,0,19,24,2010
1,5,2,179,26,9,30,0,19,16,2010
1,5,2,179,22,17,40,2,22,2,2010
1,6,2,179,22,17,40,2,22,2,2010
1,2,2,179,26,9,30,0,19,3,2010
1,4,2,179,22,17,40,2,22,2,2010
1,5,2,289,48,29,49,0,36,8,2010
1,6,2,179,22,17,40,2,22,3,2010
1,2,2,179,26,9,30,0,19,2,2010
1,3,2,155,12,14,34,2,25,8,2010
1,4,2,179,26,9,30,0,19,2,2010
1,4,2,179,51,18,38,0,31,3,2010
1,4,2,289,36,13,33,2,30,8,2010
1,5,2,179,51,18,38,0,31,3,2010
1,6,2,179,51,18,38,0,31,2,2010
2,3,2,179,51,18,38,0,31,8,2010
2,3,2,225,26,9,28,1,24,3,2010
2,4,2,248,25,14,47,2,32,8,2010
2,4,2,179,51,18,38,0,31,2,2010
2,5,2,225,26,9,28,1,24,3,2010
2,5,2,179,51,18,38,0,31,2,2010
2,5,2,179,26,9,30,0,19,2,2010
2,6,2,225,15,15,41,2,28,2,2010
2,6,2,179,51,18,38,0,31,2,2010
2,2,2,233,51,1,31,1,21,2,2010
2,2,2,179,51,18,38,0,31,2,2010
2,3,2,225,26,9,28,1,24,8,2010
2,4,2,179,51,18,38,0,31,3,2010
2,5,2,179,51,18,38,0,31,3,2010
2,5,2,225,26,9,28,1,24,3,2010
2,5,2,179,26,9,30,0,19,2,2010
2,6,2,179,22,17,40,2,22,2,2010
2,6,2,179,51,18,38,0,31,3,2010
2,4,2,233,51,1,31,1,21,3,2010
2,4,2,179,26,9,30,0,19,2,2010
2,4,2,179,51,18,38,0,31,2,2010
2,5,2,179,51,18,38,0,31,8,2010
2,6,2,179,51,18,38,0,31,2,2010
2,2,2,155,12,14,34,2,25,5,2010
2,2,2,235,16,8,32,0,25,3,2010
2,2,2,179,51,18,38,0,31,2,2010
2,2,2,225,26,9,28,1,24,2,2010
2,3,2,179,51,18,38,0,31,2,2010
2,3,2,248,25,14,47,2,32,2,2010
2,3,2,225,26,9,28,1,24,2,2010
2,4,2,179,51,18,38,0,31,2,2010
2,5,2,179,51,18,38,0,31,2,2010
2,6,2,235,16,8,32,0,25,2,2010
3,2,2,179,51,18,38,0,31,2,2010
3,2,2,248,25,14,47,2,32,2,2010
3,3,2,228,14,16,58,2,22,3,2010
3,3,2,248,25,14,47,2,32,3,2010
3,3,2,228,14,16,58,2,22,112,2010
3,4,2,179,51,18,38,0,31,2,2010
3,5,2,225,26,9,28,1,24,2,2010
3,5,2,179,51,18,38,0,31,3,2010
3,5,2,225,26,9,28,1,24,2,2010
3,6,2,179,26,9,30,0,19,3,2010
3,2,2,235,16,8,32,0,25,3,2010
3,2,2,361,52,3,28,1,27,8,2010
3,3,2,179,51,18,38,0,31,8,2010
3,4,2,179,51,18,38,0,31,2,2010
3,5,2,179,51,18,38,0,31,3,2010
3,6,2,179,26,9,30,0,19,2,2010
3,2,2,179,51,18,38,0,31,4,2010
3,2,2,248,25,14,47,2,32,2,2010
3,2,2,179,51,18,38,0,31,3,2010
3,2,2,225,26,9,28,1,24,8,2010
3,3,2,179,51,18,38,0,31,2,2010
3,4,2,289,36,13,33,2,30,8,2010
3,4,2,228,14,16,58,2,22,2,2010
3,4,2,179,51,18,38,0,31,2,2010
3,5,2,248,25,14,47,2,32,3,2010
3,5,2,179,51,18,38,0,31,3,2010
3,6,2,179,26,9,30,0,19,2,2010
3,6,2,179,51,18,38,0,31,3,2010
3,3,3,179,51,18,38,0,31,3,2010
3,4,3,118,15,24,46,2,25,8,2010
3,4,3,155,12,14,34,2,25,24,2010
3,4,3,179,51,18,38,0,31,3,2010
3,5,3,179,51,18,38,0,31,3,2010
3,2,3,179,26,9,30,0,19,2,2010
3,2,3,289,36,13,33,2,30,104,2010
3,4,3,369,17,12,31,3,25,8,2010
4,2,3,225,26,9,28,1,24,8,2010
4,2,3,118,10,10,37,0,28,8,2010
4,3,3,361,52,3,28,1,27,8,2010
4,4,3,248,25,14,47,2,32,8,2010
4,5,3,189,29,13,33,2,25,8,2010
4,6,3,179,26,9,30,0,19,2,2010
4,2,3,369,17,12,31,3,25,24,2010
4,3,3,179,22,17,40,2,22,2,2010
4,3,3,118,13,18,50,1,31,3,2010
4,3,3,361,52,3,28,1,27,2,2010
4,4,3,118,10,10,37,0,28,2,2010
4,6,3,235,11,14,37,1,29,8,2010
4,6,3,179,26,9,30,0,19,2,2010
4,2,3,225,26,9,28,1,24,8,2010
4,3,3,235,16,8,32,0,25,3,2010
4,6,3,179,26,9,30,0,19,2,2010
4,3,3,155,12,14,34,2,25,4,2010
4,5,3,225,26,9,28,1,24,8,2010
4,5,3,118,13,18,50,1,31,2,2010
4,6,3,179,26,9,30,0,19,2,2010
5,2,3,235,11,14,37,1,29,8,2010
5,4,3,225,15,15,41,2,28,3,2010
5,4,3,235,16,8,32,0,25,2,2010
5,4,3,118,10,10,37,0,28,3,2010
5,4,3,235,20,13,43,1,38,8,2010
5,5,3,179,26,9,30,0,19,1,2010
5,5,3,291,31,12,40,1,25,2,2010
5,5,3,225,15,15,41,2,28,8,2010
5,6,3,300,26,13,43,2,25,64,2010
5,6,3,225,15,15,41,2,28,8,2010
5,6,3,179,26,9,30,0,19,2,2010
5,2,3,118,13,18,50,1,31,2,2010
5,3,3,118,13,18,50,1,31,3,2010
5,3,3,118,10,10,37,0,28,1,2010
5,3,3,118,13,18,50,1,31,0,2010
5,4,3,179,26,9,30,0,19,2,2010
5,4,3,378,49,11,36,2,21,0,2010
5,6,3,179,22,17,40,2,22,1,2010
5,2,3,155,12,14,34,2,25,48,2010
5,2,3,235,16,8,32,0,25,8,2010
5,4,3,291,31,12,40,1,25,8,2010
5,4,3,179,22,17,40,2,22,8,2010
5,4,3,225,26,9,28,1,24,3,2010
5,5,3,330,16,4,28,0,25,8,2010
5,5,3,235,16,8,32,0,25,2,2010
5,5,3,291,31,12,40,1,25,2,2010
5,6,3,179,26,9,30,0,19,2,2010
5,2,3,361,52,3,28,1,27,8,2010
5,4,3,155,12,14,34,2,25,2,2010
5,6,3,179,22,17,40,2,22,8,2010
5,6,3,155,12,14,34,2,25,8,2010
5,2,3,225,26,9,28,1,24,1,2010
6,4,3,118,15,24,46,2,25,8,2010
6,4,3,179,26,9,30,0,19,3,2010
6,6,3,118,10,10,37,0,28,8,2010
6,4,3,118,10,10,37,0,28,8,2010
6,5,3,378,49,11,36,2,21,8,2010
6,5,3,118,13,18,50,1,31,24,2010
6,6,3,233,51,1,31,1,21,8,2010
6,6,3,179,26,9,30,0,19,2,2010
6,2,3,235,29,12,48,1,33,0,2010
6,2,3,268,11,8,33,0,25,0,2010
6,5,3,118,13,18,50,1,31,3,2010
6,5,3,179,26,9,30,0,19,2,2010
6,5,3,291,31,12,40,1,25,2,2010
6,2,1,179,26,9,30,0,19,3,2010
6,2,1,118,10,10,37,0,28,3,2010
6,5,1,233,51,1,31,1,21,8,2010
6,6,1,118,10,10,37,0,28,2,2010
6,4,1,118,10,10,37,0,28,3,2010
6,4,1,233,51,1,31,1,21,3,2010
7,4,1,235,20,13,43,1,38,4,2010
7,6,1,233,51,1,31,1,21,2,2010
7,2,1,228,14,16,58,2,22,8,2010
7,2,1,118,10,10,37,0,28,4,2010
7,3,1,228,14,16,58,2,22,120,2010
7,3,1,189,29,13,33,2,25,16,2010
7,4,1,118,10,10,37,0,28,2,2010
7,4,1,361,52,3,28,1,27,8,2010
7,4,1,225,26,9,28,1,24,8,2010
7,2,1,369,17,12,31,3,25,80,2010
7,3,1,289,36,13,33,2,30,8,2010
7,3,1,235,11,14,37,1,29,4,2010
